0.25098	0.25098	-007.47 nA
0.254902	0.254902	-007.77 nA
0.258824	0.258824	-008.06 nA
0.262745	0.262745	-008.37 nA
0.266667	0.266667	-008.64 nA
0.270588	0.270588	-008.93 nA
0.27451	0.27451	-009.21 nA
0.278431	0.278431	-009.49 nA
0.282353	0.282353	-009.77 nA
0.286275	0.286275	-010.04 nA
0.290196	0.290196	-010.31 nA
0.294118	0.294118	-010.58 nA
0.298039	0.298039	-010.84 nA
0.301961	0.301961	-011.11 nA
0.305882	0.305882	-011.38 nA
0.309804	0.309804	-011.64 nA
0.313726	0.313726	-011.93 nA
0.317647	0.317647	-012.20 nA
0.321569	0.321569	-012.45 nA
0.32549	0.32549	-012.70 nA
0.329412	0.329412	-012.98 nA
0.333333	0.333333	-013.25 nA
0.337255	0.337255	-013.49 nA
0.341176	0.341176	-013.75 nA
0.345098	0.345098	-014.01 nA
0.34902	0.34902	-014.27 nA
0.352941	0.352941	-014.53 nA
0.356863	0.356863	-014.79 nA
0.360784	0.360784	-015.05 nA
0.364706	0.364706	-015.29 nA
0.368627	0.368627	-015.56 nA
0.372549	0.372549	-015.83 nA
0.376471	0.376471	-016.12 nA
0.380392	0.380392	-016.40 nA
0.384314	0.384314	-016.65 nA
0.388235	0.388235	-016.93 nA
0.392157	0.392157	-017.20 nA
0.396078	0.396078	-017.44 nA
0.4	0.4	-017.72 nA
0.403922	0.403922	-017.98 nA
0.407843	0.407843	-018.25 nA
0.411765	0.411765	-018.52 nA
0.415686	0.415686	-018.78 nA
0.419608	0.419608	-019.04 nA
0.423529	0.423529	-019.32 nA
0.427451	0.427451	-019.60 nA
0.431373	0.431373	-019.85 nA
0.435294	0.435294	-020.14 nA
0.439216	0.439216	-020.43 nA
0.443137	0.443137	-020.70 nA
0.447059	0.447059	-020.97 nA
0.45098	0.45098	-021.25 nA
0.454902	0.454902	-021.53 nA
0.458824	0.458824	-021.82 nA
0.462745	0.462745	-022.11 nA
0.466667	0.466667	-022.37 nA
0.470588	0.470588	-022.63 nA
0.47451	0.47451	-022.90 nA
0.478431	0.478431	-023.18 nA
